season,route_id,route_name,train,direction_id,day_type_id,day_type_name,stop_time,stop_id,stopsequence,average_ons,average_offs,average_load,ObjectId
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,142,1,day_type_01,weekday,2024/01/01 11:15:00+00,North Beverly,5,19,0,99,10816
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,142,1,day_type_01,weekday,2024/01/01 11:20:00+00,Beverly,6,59,0,158,10817
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,142,1,day_type_01,weekday,2024/01/01 11:24:00+00,Salem,7,72,4,226,10818
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,142,1,day_type_01,weekday,2024/01/01 11:31:00+00,Swampscott,8,55,1,280,10819
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,142,1,day_type_01,weekday,2024/01/01 11:34:00+00,Lynn,9,9,6,283,10820
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,142,1,day_type_01,weekday,2024/01/01 11:37:00+00,River Works,10,0,5,278,10821
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,142,1,day_type_01,weekday,2024/01/01 11:44:00+00,Chelsea,11,4,13,269,10822
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,142,1,day_type_01,weekday,2024/01/01 12:05:00+00,North Station,12,0,269,0,10823
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,143,0,day_type_01,weekday,2024/01/01 12:07:00+00,North Station,1,31,0,31,10824
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,143,0,day_type_01,weekday,2024/01/01 12:18:00+00,Chelsea,2,3,4,30,10825
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,143,0,day_type_01,weekday,2024/01/01 12:25:00+00,River Works,3,0,5,25,10826
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,143,0,day_type_01,weekday,2024/01/01 12:28:00+00,Lynn,4,11,1,35,10827
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,143,0,day_type_01,weekday,2024/01/01 12:31:00+00,Swampscott,5,7,0,42,10828
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,143,0,day_type_01,weekday,2024/01/01 12:38:00+00,Salem,6,9,7,44,10829
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,143,0,day_type_01,weekday,2024/01/01 12:42:00+00,Beverly,7,2,9,37,10830
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,143,0,day_type_01,weekday,2024/01/01 12:46:00+00,North Beverly,8,0,5,32,10831
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,143,0,day_type_01,weekday,2024/01/01 12:50:00+00,Hamilton/Wenham,9,0,8,24,10832
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,143,0,day_type_01,weekday,2024/01/01 13:09:00+00,Ipswich,10,0,3,21,10833
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,143,0,day_type_01,weekday,2024/01/01 13:15:00+00,Rowley,11,0,3,18,10834
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,143,0,day_type_01,weekday,2024/01/01 13:27:00+00,Newburyport,12,0,18,0,10835
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,144,1,day_type_01,weekday,2024/01/01 11:54:00+00,Newburyport,1,72,0,72,10836
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,144,1,day_type_01,weekday,2024/01/01 11:59:00+00,Rowley,2,22,0,94,10837
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,144,1,day_type_01,weekday,2024/01/01 12:05:00+00,Ipswich,3,61,0,155,10838
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,144,1,day_type_01,weekday,2024/01/01 12:11:00+00,Hamilton/Wenham,4,42,4,193,10839
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,144,1,day_type_01,weekday,2024/01/01 12:15:00+00,North Beverly,5,57,1,249,10840
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,144,1,day_type_01,weekday,2024/01/01 12:20:00+00,Beverly,6,0,0,249,10841
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,144,1,day_type_01,weekday,2024/01/01 12:24:00+00,Salem,7,157,9,397,10842
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,144,1,day_type_01,weekday,2024/01/01 12:31:00+00,Swampscott,8,65,0,462,10843
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,144,1,day_type_01,weekday,2024/01/01 12:34:00+00,Lynn,9,42,14,490,10844
Fall 2024,CR-Newburyport,Newburyport/Rockport Line,117,0,day_type_01,weekday,2024/01/01 22:29:00+00,Swampscott,5,1,102,434,10845
